artist,data-has-content,rank,song,year
Billie Jo Spears ,true ,6 ,Mr. Walker, It's All Over,1969
Jim Reeves ,true ,7 ,When Two Worlds Collide,1969
Jeannie C. Riley ,true ,8 ,There Never Was A Time,1969
Johnny Bush ,true ,9 ,You Gave Me A Mountain,1969
Eddy Arnold ,true ,10 ,Please Don't Go,1969
Tompall &amp; The Glaser Brothers ,true ,11 ,California Girl (And The Tennessee Square),1969
Dave Dudley ,true ,12 ,One More Mile,1969
Doug Kershaw With Hank Williams, Jr. ,true ,13 ,Cajun Baby,1969
Sonny James ,true ,14 ,Running Bear,1969
Merle Haggard ,true ,15 ,Hungry Eyes,1969
Conway Twitty ,true ,16 ,I Love You More Today,1969
Dottie West ,true ,17 ,Rings Of Gold,1969
Glen Campbell ,true ,18 ,Galveston,1969
Dolly Parton ,true ,19 ,Yours Love,1969
Jerry Reed ,true ,20 ,There's Better Things In Life,1969
Wynn Stewart ,true ,21 ,Let The Whole World Sing It With Me,1969
Johnny Darrell ,true ,22 ,Why You Been Gone So Long,1969
Mel Tillis ,true ,23 ,Old Faithful,1969
Leon Ashley ,true ,24 ,Walkin' Back To Birmingham,1969
Ray Price ,true ,25 ,Sweetheart Of The Year,1969
Bobby Goldsboro ,true ,26 ,I'm A Drifter,1969
Warner Mack ,true ,27 ,Leave My Dream Alone,1969
Jack Greene ,true ,28 ,Statue Of A Fool,1969
Billy Walker ,true ,29 ,Smoky Places,1969
Charlie Louvin ,true ,30 ,Let's Put Our World Back Together,1969
George Morgan ,true ,31 ,Like A Bird,1969
Don Gibson ,true ,32 ,Solitary,1969
Glen Campbell ,true ,33 ,Where's The Playground Susie,1969
Jim Ed Brown ,true ,34 ,Man And Wife Time,1969
Connie Smith ,true ,35 ,Ribbon Of Darkness,1969
Loretta Lynn ,true ,36 ,Woman Of The World (Leave My World Alone),1969
Del Reeves ,true ,37 ,Be Glad,1969
Johnny Carver ,true ,38 ,Sweet Wine,1969
Buck Owens ,true ,39 ,Johnny B. Goode,1969
Dolly Parton ,true ,40 ,Daddy,1969
Billy Mize ,true ,41 ,Make It Rain,1969
Jack Reno ,true ,42 ,I'm A Good Man (In A Bad Frame Of Mind),1969
Claude King ,true ,43 ,All For The Love Of A Girl,1969
Jeannie Seely ,true ,44 ,Just Enough To Start Me Dreamin',1969
Tom T. Hall ,true ,45 ,Strawberry Farms,1969
Norma Jean ,true ,46 ,Dusty Road,1969
Arlene ,true ,47 ,Too Much Of A Man (To Be Tied Down),1969
Jerry Lee Lewis ,false ,48 ,One Has My Name (The Other Has My Heart),1969
Waylon Jennings ,false ,49 ,Delia's Gone,1969
Carl Smith ,true ,50 ,Good Deal, Lucille,1969
Sonny James ,true ,1 ,My Love,1970
Conway Twitty ,true ,2 ,Hello Darlin',1970
Johnny Cash ,true ,3 ,What Is Truth,1970
David Houston ,true ,4 ,I Do My Swinging At Home,1970
Dave Dudley ,true ,5 ,The Pool Shark,1970
Charley Pride ,true ,6 ,Is Anybody Goin' To San Antone,1970
George Hamilton IV ,true ,7 ,She's A Little Bit Country,1970
Tom T. Hall ,true ,8 ,Shoeshine Man,1970
Merle Haggard ,true ,9 ,Street Singer,1970
Mel Tillis ,true ,10 ,Heart Over Mind,1970
Bill Anderson ,true ,11 ,Love Is A Sometimes Thing,1970
Tommy Cash ,true ,12 ,Rise And Shine,1970
Waylon Jennings ,true ,13 ,Singer Of Sad Songs,1970
Jerry Lee Lewis ,true ,14 ,I Can't Seem To Say Goodbye,1970
Arlene ,true ,15 ,Lovin' Man (Oh Pretty Woman),1970
Roy Drusky ,true ,16 ,Long Long Texas Road,1970
George Morgan ,true ,17 ,Lilacs And Fire,1970
Buck Owens ,true ,18 ,Togetherness,1970
